nama;harga;lokasi;toko;rating;terjual
Lenovo Ideapad Gaming 3 Ryzen 5 5500H 8GB 512SSD RTX2050 4GB 144Hz - RAM 8GB, SSD 512GB;Rp9.999.000;;;5.0;4 terjual
"Lenovo LOQ Gaming RTX4050 6GB Ryzen 5 7640HS 8GB 512SSD 15.6"" 165Hz 2Y - RAM 8GB, SSD 512GB";Rp15.499.000;;;5.0;1 terjual
"Lenovo Yoga 7i 2in1 14 Intel Core 7 RAM 16GB SSD 1TB W11+OHS 14"" 2.8K OLED 120Hz 100%sRGB Touchscreen Pen 3Yr PREMIUM+3Yr ADP - Tanpa Antigores, Windows 11 Home";Rp20.399.000;;;5.0;1 terjual
Lenovo LOQ Gaming i5-12450HX RTX3050 512GB SSD 12GB Win11+OHS;Rp12.799.000;Jakarta Barat;Sinarmulia Sukses Makmur;5.0;100+ terjual
Laptop Lenovo IdeaPad Slim 3i i3-1215U 256GB SSD 8GB WIN11+OHS - ARTIC GREY, 8GB;Rp6.099.000;Tangerang;Lenovo Authorized Tangerang;5.0;1rb+ terjual
Lenovo LOQ Gaming i5-12450HX 512GB SSD 8GB ARC A530M 144Hz IPS Win11;Rp11.999.000;Jakarta Barat;Lenovo Authorized Jakarta Barat;;
Lenovo Ideapad Gaming 3 Ryzen 5 5500H RTX2050 4GB 8GB 512SSD W11 144Hz;Rp9.999.000;Jakarta Pusat;Lenovo Legion Official;4.9;1rb+ terjual
ADVAN Laptop Gaming Pixelwar AMD RYZEN 5 6600H 16” 2.5K IPS 16GB 512GB;Rp9.700.499;Kab. Tangerang;Advan Official Store;4.9;30+ terjual
Lenovo IdeaPad Gaming 3 15ARH7 I RTX4050 6GB RYZEN 5 7535HS 8GB 512SSD;Rp13.999.000;Yogyakarta;Lenovo Authorized Yogyakarta Selatan;5.0;16 terjual
ACER LAPTOP NITRO V 15 ANV15-51-542G 15.6 I5-13420H 8GB 512GB RTX 2050;Rp11.249.000;Jakarta Timur;Acer Store Official;5.0;70+ terjual
Lenovo LOQ Gaming i5-12450HX 512GB SSD 8GB 100%sRGB 144Hz ARC A530M;Rp11.199.000;Jakarta Barat;Sinarmulia Sukses Makmur;5.0;10 terjual
ACER NITRO V 15 I5 13420H RTX2050 8GB 512GB 15.6FHD 144HZ IPS;Rp10.649.000;Bandung;Agres ID Bandung;5.0;11 terjual
