nama;harga;lokasi;toko;rating;terjual
Laptop Lenovo IdeaPad Slim 3i i3-1215U 256GB SSD 8GB WIN11+OHS;Rp6.099.000;Tangerang;Lenovo Authorized Tangerang;5.0;1rb+ terjual
Lenovo LOQ Gaming i5-12450HX 512GB SSD 8GB 100%sRGB 144Hz ARC A530M;Rp11.999.000;Tangerang;Lenovo Authorized Tangerang;5.0;3 terjual
Laptop Gaming HP Victus 15 RTX 4060 Intel i5 12500H RAM 16GB 1TB 144Hz;Rp12.899.000;Tangerang Selatan;Super Store Laptop;5.0;1 terjual
ADVAN Laptop Gaming Pixelwar AMD RYZEN 5 6600H 16” 2.5K IPS 16GB 512GB;Rp9.698.000;Kab. Tangerang;Advan Official IT Store;4.8;100+ terjual
Laptop Gaming COLORFUL EVOL P15-23 i5-12450H RTX4050 512GB SSD 16GB;Rp12.499.000;Jakarta Barat;Sinarmulia Sukses Makmur;5.0;2 terjual
Lenovo Ideapad Gaming 3 Ryzen 5 5500H RTX2050 4GB 8GB 512SSD W11 144Hz;Rp9.999.000;Jakarta Pusat;Lenovo Legion Official;4.9;1rb+ terjual
Laptop Gaming COLORFUL EVOL P15-23 i7-13620H RTX4060 512GB SSD 16GB;Rp16.499.000;Jakarta Barat;Sinarmulia Sukses Makmur;4.9;9 terjual
ASUS ROG Strix G17 G713RW RTX3070Ti - Ryzen 9 6900HX 64GB 1T 17.3 QHD;Rp19.749.000;Jakarta Utara;Top Tech;5.0;17 terjual
Lenovo Ideapad Slim 3i i5-12450H 512GB SSD 16GB IPS Win11+OHS;Rp9.099.000;Tangerang;Lenovo Authorized Tangerang;5.0;60+ terjual
LENOVO IDEAPAD MIIX 510-12ISK CORE i7-6500U 8GB RAM 256 (SSD LCD);Rp2.599.000;Jakarta Selatan;Liquidate-IT;4.9;80+ terjual
Lenovo Ideapad Slim 5i Intel Ultra 7 155H 512GB SSD 16GB 100%sRGB W11;Rp13.899.000;Jakarta Barat;Lenovo Authorized Jakarta Barat;5.0;2 terjual
"LENOVO IdeaPad 5 2-in-1 Ryzen 7-8845HS 16G 512G 14"" WUXGA X360 W11 OHS";Rp12.899.000;Jakarta Pusat;Collins Official;5.0;4 terjual
LENOVO IDEAPAD MIIX 510-12ISK CORE i7-6500U 8GB RAM 256 SSD;Rp2.799.000;Jakarta Selatan;Liquidate-IT;4.9;100+ terjual
ACER Nitro V 15 ANV15 51 542G RTX2050 i5 13420H 8/512GB SSD FHD 144Hz;Rp10.639.000;Jakarta Utara;Acer Authorized Store Jakarta;5.0;250+ terjual
ASUS TUF Gaming A15 FA507NU-R545K6M-O - Mecha Gray;Rp15.149.000;Dilayani Tokopedia;Asus Official Store;4.8;7 terjual
ACER PREDATOR HELIOS NEO 16 I5 13500HX RTX4050 16GB 512GB WIN11 16inch;Rp16.599.000;Jakarta Utara;AGRES ID;5.0;12 terjual
ASUS TUF Gaming A15 FA507RF RYZEN 7-6800HS 512GB RTX2050 4GB OHS W11;Rp12.999.000;Jakarta Pusat;Protech Computer;4.9;250+ terjual
GPD WinMax 2 Win Max 2 2023 Ryzen 7640 7640U Laptop Gaming Win 11;Rp13.899.000;Tangerang;Stone Edge;5.0;8 terjual
Asus ROG Zephyrus G16 GU603VI-I947C6G-O GeForce RTX™ 4070 - i9-13900H;Rp34.649.008;Tangerang Selatan;IT Galeri;5.0;3 terjual
"ASUS ROG ZEPHYRUS M16 GU603ZM I9 12900H RTX3060 24GB 1TB 16""QHD W11OHS";Rp23.099.000;Jakarta Utara;ALIENWARE GAMING STORE;5.0;10 terjual
MSI Gaming Thin GF63 12UCX i5-12450H 8GB 512GB RTX 2050 FHD 144Hz W11;Rp11.999.000;Jakarta Pusat;Distributor Laptop ID;5.0;50+ terjual
ASUS TUF Gaming F15 FX507ZC4 i5-12500H RTX3050 512GB SSD 8GB Win11+OHS;Rp12.449.000;Jakarta Barat;Sinarmulia Sukses Makmur;5.0;8 terjual
ASUS ROG Zephyrus G16 GU603ZU-I745J6G-O-Eclipse Gray;Rp25.999.000;Jakarta Pusat;ROG Official Store;5.0;1 terjual
Lenovo IdeaPad Gaming 3i 82K101PTID i5-11320H 8GB 512GB SSD GTX 2050;Rp10.999.000;Jakarta Pusat;theidea_co;5.0;1 terjual
Lenovo legion go L71051 Gaming Tablet Black Second Like New;Rp2.025.000;Jakarta Barat;WT Teknologi;4.9;14 terjual
Lenovo Ideapad Slim 1 14 N4020 4GB 256SSD W11+OHS 14.0 2YR 2NID;Rp4.599.900;Jakarta Pusat;Lenovo Legion Official;4.8;40+ terjual
Acer Nitro 5 AN515 58 | i5 12500H 8GB 512ssd RTX3050 4GB;Rp11.999.000;Yogyakarta;AGRES ID JOGJA;5.0;5 terjual
ACER Nitro V 15 ANV15 51 5115 RTX4050 i5 13420H 8/512GB SSD FHD 144Hz;Rp14.099.000;Jakarta Utara;Acer Authorized Store Jakarta;5.0;80+ terjual
ADVAN Laptop Gaming Pixelwar AMD RYZEN 5 6600H 16” 2.5K IPS 16GB 512GB;Rp9.999.000;Kab. Tangerang;Advan Official Store;4.9;30+ terjual
"DELL GAMING G16 7620 i7 12700 32GB 1TBSSD RTX3050Ti W11 16""QHD 165Hz";Rp13.399.000;Jakarta Utara;Top Tech;5.0;4 terjual
MSI Thin GF63 Gaming RTX 4050 I7 12650H 32GB 1TB SSD W11 15.6IPS 144Hz;Rp13.799.000;Jakarta Pusat;ROGZ Online;5.0;5 terjual
ACER PREDATOR HELIOS NEO 16 PHN16-71-93DR 16 I9-13900HX 16G 1T RTX4060;Rp26.999.000;Jakarta Timur;Acer Store Official;5.0;12 terjual
Lenovo Legion Slim 5 16 GeForce RTX™ 4060 -i7 13700H 16GB 512SSD ;Rp23.499.000;Jakarta Utara;NVIDIA GeForce Laptop;4.9;40+ terjual
ASUS ROG STRIX G16 2023 G614JV RTX4060 8GB - i7 13650H 64GB 1TB WUXGA;Rp21.999.000;Jakarta Utara;Top Tech;5.0;24 terjual
RAZER BLADE 14 - RTX3070TI RYZEN 9 6900HX 16GB 1TBSSD W11 14.0QHD;Rp27.699.000;Jakarta Utara;ALIENWARE GAMING STORE;5.0;1 terjual
ADVAN Laptop Gaming Pixelwar AMD RYZEN 5 6600H 16” 2.5K IPS 16GB 512GB;Rp10.099.000;Kab. Tangerang;Advan Official IT Store;4.8;100+ terjual
ADVAN Laptop Gaming Pixelwar AMD RYZEN 5 6600H 16” 2.5K IPS 16GB 512GB;Rp9.999.000;Kab. Tangerang;Advan Official Store;4.9;30+ terjual
KIVEE Cooling Pad Laptop Gaming Kipas Pendingin Laptop Kipas Cooler Q3;Rp60.000;Jakarta Utara;Kivee Official Store;4.8;250+ terjual
Tas ransel urban factor - Aphelion Gaming | Tas laptop | Backpack;Rp399.840;Depok;URBAN FACTOR;4.9;250+ terjual
Creative Pebble PC Laptop Gaming Speaker | USB Powered;Rp475.000;Malang;Extreme Velocity;4.9;100+ terjual
Alienware Horizon AW724P Tas Ransel Gaming Backpack For AW M18 Laptop;Rp1.475.000;Malang;Extreme Velocity;5.0;7 terjual
Oxihom Meja Belajar Meja Kerja Meja Komputer Meja Gaming Meja Laptop;Rp749.900;Depok;Oxihom;4.9;50+ terjual
Meja Komputer Meja Gaming Titam Meja PC Meja Laptop LED Terlaris;Rp724.000;Surabaya;Trenzfurniture;5.0;30+ terjual
Tas Laptop Alienware PRO M15 M17 Gaming Backpack Not Vindicator;Rp698.000;Malang;Extreme Velocity;5.0;4 terjual
Fan Laptop Cooling Pad Notebook Gaming NYK X3 WINTERSTORM;Rp155.000;Surakarta;andalassuryagemilang;5.0;8 terjual
Kipas Pendingin Laptop Gaming Cooling Pad dengan LED RGB Light 6 Kipas;Rp306.800;Jakarta Barat;Maslinda Store;4.8;6 terjual
ASUS ROG ZEPHYRUS M16 GU603HE I7 11800 16GB 512SSD RTX3050Ti 4GB W10;Rp15.399.000;Jakarta Utara;EnVicStore;5.0;15 terjual
